219.142.18.122 - - [05/Nov/2013:18:45:21 +0800] "GET /solr/css/styles/analysis.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:45:21 +0800] "GET /solr/css/styles/cloud.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:45:21 +0800] "GET /solr/css/styles/cores.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:45:21 +0800] "GET /solr/css/styles/index.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:45:21 +0800] "GET /solr/css/styles/dashboard.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:45:21 +0800] "GET /solr/css/styles/documents.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:45:21 +0800] "GET /solr/css/styles/query.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:45:21 +0800] "GET /solr/css/styles/java-properties.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:45:21 +0800] "GET /solr/css/styles/logging.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:45:21 +0800] "GET /solr/css/styles/menu.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:45:21 +0800] "GET /solr/css/styles/dataimport.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:45:21 +0800] "GET /solr/css/styles/plugins.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:45:21 +0800] "GET /solr/css/styles/replication.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:45:21 +0800] "GET /solr/css/styles/schema-browser.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:45:21 +0800] "GET /solr/css/styles/threads.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:45:21 +0800] "GET /solr/css/chosen.css?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:45:21 +0800] "GET /solr/js/require.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:45:21 +0800] "GET /solr/js/main.js?_=4.4.0 HTTP/1.1" 304 -
219.142.18.122 - - [05/Nov/2013:18:45:21 +0800] "GET /solr/img/favicon.ico?_=4.4.0 HTTP/1.1" 200 1146
219.142.18.122 - - [05/Nov/2013:18:45:22 +0800] "GET /solr/admin/cores?wt=json&indexInfo=false&_=1383648323517 HTTP/1.1" 200 454
219.142.18.122 - - [05/Nov/2013:18:45:22 +0800] "GET /solr/collection1/admin/system?wt=json&_=1383648323589 HTTP/1.1" 200 2946
219.142.18.122 - - [05/Nov/2013:18:45:22 +0800] "GET /solr/tpl/file.html?_=1383648324002 HTTP/1.1" 200 878
219.142.18.122 - - [05/Nov/2013:18:45:22 +0800] "GET /solr/collection1/admin/file?file=schema.xml&contentType=text/xml;charset=utf-8&_=1383648324055 HTTP/1.1" 200 55531
